"","Address","Type","Color","ExtendedType"
"1","21630339","STAINING","-99","DNP(20K)"
"2","24669308","STAINING","-99","Biotin(5K)"
"3","27630314","STAINING","Red","DNP (High)"
"4","34648333","STAINING","Blue","Biotin (Bkg)"
"5","41666334","STAINING","Green","Biotin (High)"
"6","43603326","STAINING","Purple","DNP (Bkg)"
"7","12719506","EXTENSION","Blue","Extension (G)"
"8","21752326","EXTENSION","Purple","Extension (T)"
"9","63642461","EXTENSION","Red","Extension (A)"
"10","74666473","EXTENSION","Green","Extension (C)"
"11","21771417","HYBRIDIZATION","Black","Hyb (Low)"
"12","39782321","HYBRIDIZATION","Blue","Hyb (Medium)"
"13","28684356","HYBRIDIZATION","Green","Hyb (High)"
"14","39773404","TARGET REMOVAL","Green","Target Removal 1"
"15","42790394","TARGET REMOVAL","Blue","Target Removal 2"
"16","22795447","BISULFITE CONVERSION I","Green","BS Conversion I-C1"
"17","56682500","BISULFITE CONVERSION I","Lime","BS Conversion I-C2"
"18","54705438","BISULFITE CONVERSION I","Purple","BS Conversion I-C3"
"19","49720470","BISULFITE CONVERSION I","Red","BS Conversion I-C4"
"20","26725400","BISULFITE CONVERSION I","Tomato","BS Conversion I-C5"
"21","24637490","BISULFITE CONVERSION I","Blue","BS Conversion I-U1"
"22","33665449","BISULFITE CONVERSION I","Cyan","BS Conversion I-U2"
"23","57693375","BISULFITE CONVERSION I","Orange","BS Conversion I-U3"
"24","15700381","BISULFITE CONVERSION I","Gold","BS Conversion I-U4"
"25","33635504","BISULFITE CONVERSION I","Yellow","BS Conversion I-U5"
"26","43720395","BISULFITE CONVERSION II","Purple","BS Conversion II-1"
"27","70664314","BISULFITE CONVERSION II","Red","BS Conversion II-2"
"28","71718498","BISULFITE CONVERSION II","Tomato","BS Conversion II-3"
"29","12722428","BISULFITE CONVERSION II","Tomato","BS Conversion II-4"
"30","65735497","SPECIFICITY I","Green","GT Mismatch 1 (PM)"
"31","51804467","SPECIFICITY I","LimeGreen","GT Mismatch 2 (PM)"
"32","61624401","SPECIFICITY I","Lime","GT Mismatch 3 (PM)"
"33","50611399","SPECIFICITY I","Blue","GT Mismatch 1 (MM)"
"34","30684480","SPECIFICITY I","SkyBlue","GT Mismatch 2 (MM)"
"35","28649458","SPECIFICITY I","Cyan","GT Mismatch 3 (MM)"
"36","46779338","SPECIFICITY I","Purple","GT Mismatch 4 (PM)"
"37","59783305","SPECIFICITY I","Red","GT Mismatch 5 (PM)"
"38","28618334","SPECIFICITY I","Tomato","GT Mismatch 6 (PM)"
"39","51745378","SPECIFICITY I","Orange","GT Mismatch 4 (MM)"
"40","65797428","SPECIFICITY I","Gold","GT Mismatch 5 (MM)"
"41","52712334","SPECIFICITY I","Yellow","GT Mismatch 6 (MM)"
"42","29662396","SPECIFICITY II","Purple","Specificity 1"
"43","17661470","SPECIFICITY II","Red","Specificity 2"
"44","34730329","SPECIFICITY II","Tomato","Specificity 3"
"45","24701411","NON-POLYMORPHIC","Red","NP (A)"
"46","18773482","NON-POLYMORPHIC","Purple","NP (T)"
"47","23663352","NON-POLYMORPHIC","Green","NP (C)"
"48","38796356","NON-POLYMORPHIC","Blue","NP (G)"
"49","39623485","NON-POLYMORPHIC","-99","NP (G) 1"
"50","55674478","NON-POLYMORPHIC","-99","NP (G) 2"
"51","19625481","NON-POLYMORPHIC","-99","NP (G) 3"
"52","47614409","NON-POLYMORPHIC","-99","NP (G) 4"
"53","17667422","NON-POLYMORPHIC","-99","NP (G) 5"
"54","10609447","NEGATIVE","RED","Negative 1286"
"55","10627500","NEGATIVE","Purple","Negative 265"
"56","10676356","NEGATIVE","RED","Negative 1284"
"57","10731326","NEGATIVE","Olive","Negative 583"
"58","10732387","NEGATIVE","Cyan","Negative 318"
"59","10740401","NEGATIVE","RED","Negative 855"
"60","10744385","NEGATIVE","Cyan","Negative 558"
"61","10760363","NEGATIVE","Orchid","Negative 598"
"62","10768409","NEGATIVE","RED","Negative 1240"
"63","10786458","NEGATIVE","RED","Negative 1200"
"64","11678455","NEGATIVE","RED","Negative 857"
"65","11683376","NEGATIVE","RED","Negative 1153"
"66","11773410","NEGATIVE","Purple","Negative 355"
"67","11807451","NEGATIVE","Fuchsia","Negative 357"
"68","12615373","NEGATIVE","RED","Negative 858"
"69","12676382","NEGATIVE","RED","Negative 1134"
"70","12683388","NEGATIVE","RED","Negative 1119"
"71","12760383","NEGATIVE","RED","Negative 1222"
"72","12798434","NEGATIVE","RED","Negative 1107"
"73","13614338","NEGATIVE","Violet","Negative 144"
"74","13639467","NEGATIVE","Olive","Negative 343"
"75","13666306","NEGATIVE","RED","Negative 1096"
"76","13678432","NEGATIVE","RED","Negative 1269"
"77","13730428","NEGATIVE","Silver","Negative 63"
"78","13792480","NEGATIVE","Red","Negative 1"
"79","14636449","NEGATIVE","Crimson","Negative 179"
"80","14642466","NEGATIVE","RED","Negative 1256"
"81","14667385","NEGATIVE","Aqua","Negative 107"
"82","14678473","NEGATIVE","RED","Negative 1080"
"83","14694306","NEGATIVE","Olive","Negative 223"
"84","15664391","NEGATIVE","RED","Negative 1324"
"85","15675471","NEGATIVE","Aqua","Negative 137"
"86","15695478","NEGATIVE","RED","Negative 1160"
"87","15719334","NEGATIVE","Fuchsia","Negative 477"
"88","15727485","NEGATIVE","Teal","Negative 586"
"89","15740334","NEGATIVE","Brown","Negative 484"
"90","15760434","NEGATIVE","Cyan","Negative 18"
"91","15769506","NEGATIVE","Maroon","Negative 545"
"92","15797317","NEGATIVE","Purple","Negative 595"
