"","Probe_ID","M","U","col"
"1","BSC_ABCG2-CA-F-17937_F_B_O_I_r1",8781348,63730337,"R"
"2","BSC_ABCG2-CA-F-17937_F_B_O_II_r1",NA,21633318,NA
"3","BSC_ABCG2-CA-F-27430_R_T_C_I_r1",41633928,97767393,"R"
"4","BSC_ABCG2-CA-F-27430_R_T_C_II_r1",NA,9656253,NA
"5","BSC_ABCG2-CA-F-30380_F_B_C_I_r1",28654273,84641926,"R"
"6","BSC_ABCG2-CA-F-30380_F_B_C_II_r1",NA,97799880,NA
"7","BSC_ABCG2-CA-F-3170_F_T_O_I_r1",98704476,44644184,"R"
"8","BSC_ABCG2-CA-F-3170_F_T_O_II_r1",NA,68628179,NA
"9","BSC_ABCG2-CA-F-37119_F_T_C_I_r1",92756282,49621879,"R"
"10","BSC_ABCG2-CA-F-37119_F_T_C_II_r1",NA,68626208,NA
"11","BSC_ABCG2-CA-F-37119_F_T_O_I_r1",64605929,6667849,"R"
"12","BSC_ABCG2-CA-F-37119_F_T_O_II_r1",NA,76797197,NA
"13","BSC_ABCG2-CA-F-37119_R_B_C_I_r1",56789276,75789993,"R"
"14","BSC_ABCG2-CA-F-37119_R_B_C_II_r1",NA,2669374,NA
"15","BSC_ABCG2-CA-F-38052_F_T_C_I_r1",34717585,99603594,"R"
"16","BSC_ABCG2-CA-F-38052_F_T_C_II_r1",NA,9633576,NA
"17","BSC_ABCG2-CA-F-38052_R_B_C_I_r1",81653279,45796125,"R"
"18","BSC_ABCG2-CA-F-38052_R_B_C_II_r1",NA,99691455,NA
"19","BSC_ABCG2-CA-F-6550_R_T_C_II_r1",NA,96623928,NA
"20","BSC_ABCG2-CA-F-72263_F_T_O_I_r1",23669344,6678509,"R"
"21","BSC_ABCG2-CA-F-72263_F_T_O_II_r1",NA,36669264,NA
"22","BSC_ABCG2-CA-F-83658_R_T_C_I_r1",57780131,23603955,"R"
"23","BSC_ABCG2-CA-F-83658_R_T_C_II_r1",NA,79687205,NA
"24","BSC_ABCG2-CA-R-100880_R_T_C_I_r1",9806471,55769825,"R"
"25","BSC_ABCG2-CA-R-100880_R_T_C_II_r1",NA,10708133,NA
"26","BSC_ABCG2-CA-R-105656_F_T_O_II_r1",NA,88753475,NA
"27","BSC_ABCG2-CA-R-105656_R_B_C_I_r1",44725843,52639273,"R"
"28","BSC_ABCG2-CA-R-105656_R_B_C_II_r1",NA,90732244,NA
"29","BSC_ABCG2-CA-R-16913_R_T_C_I_r1",86810945,63620223,"R"
"30","BSC_ABCG2-CA-R-16913_R_T_C_II_r1",NA,92664945,NA
"31","BSC_ABCG2-CA-R-21199_F_B_C_I_r1",51707174,90689485,"R"
"32","BSC_ABCG2-CA-R-21199_F_B_C_II_r1",NA,7790274,NA
"33","BSC_ABCG2-CA-R-21199_F_B_O_I_r1",8711598,21670388,"R"
"34","BSC_ABCG2-CA-R-21199_F_B_O_II_r1",NA,78677550,NA
"35","BSC_ABCG2-CA-R-27022_F_T_O_I_r1",93677159,61608913,"R"
"36","BSC_ABCG2-CA-R-27022_F_T_O_II_r1",NA,74806912,NA
"37","BSC_ABCG2-CA-R-27022_R_B_C_I_r1",46726458,68802417,"R"
"38","BSC_ABCG2-CA-R-27022_R_B_C_II_r1",NA,52740182,NA
"39","BSC_ABCG2-CA-R-3073_F_B_O_I_r1",37693484,19670183,"R"
"40","BSC_ABCG2-CA-R-38455_R_B_C_I_r1",57745234,12719442,"R"
"41","BSC_ABCG2-CA-R-38455_R_B_C_II_r1",NA,37675523,NA
"42","BSC_ABCG2-CA-R-64548_R_T_C_I_r1",6672279,99710398,"R"
"43","BSC_ABCG2-CA-R-64548_R_T_C_II_r1",NA,46742214,NA
"44","BSC_ABCG2-CA-R-77992_F_B_O_I_r1",79797542,28670100,"R"
"45","BSC_ABCG2-CA-R-77992_F_B_O_II_r1",NA,73640306,NA
"46","BSC_ABCG2-CA-R-77992_R_T_C_I_r1",59797533,9764986,"R"
"47","BSC_ABCG2-CA-R-77992_R_T_C_II_r1",NA,51706188,NA
"48","BSC_ABCG2-CA-R-98560_R_T_C_I_r1",16652496,59701825,"R"
"49","BSC_ABCG2-CA-R-98560_R_T_C_II_r1",NA,28759834,NA
"50","BSC_ABCG2-CT-F-105343_R_B_C_I_r1",89659552,89742986,"R"
"51","BSC_ABCG2-CT-F-105343_R_B_C_II_r1",NA,97637555,NA
"52","BSC_ABCG2-CT-F-12263_R_T_C_II_r1",NA,47744209,NA
"53","BSC_ABCG2-CT-F-54236_F_T_C_I_r1",74789847,97764353,"R"
"54","BSC_ABCG2-CT-F-83439_R_T_C_I_r1",44611455,97670183,"R"
"55","BSC_ABCG2-CT-F-83439_R_T_C_II_r1",NA,31637108,NA
"56","BSC_ABCG2-CT-F-9094_R_T_C_I_r1",20683425,28629101,"R"
"57","BSC_ABCG2-CT-F-9094_R_T_C_II_r1",NA,34689142,NA
"58","BSC_ABCG2-CT-R-68549_F_T_C_I_r1",48652290,5723939,"R"
"59","BSC_ABCG2-CT-R-68549_F_T_C_II_r1",NA,41652257,NA
"60","BSC_ACVRL1-CA-R-12971_F_B_O_II_r1",NA,77768520,NA
"61","BSC_ACVRL1-CA-R-12971_R_T_C_I_r1",40623372,61726242,"R"
"62","BSC_ACVRL1-CA-R-12971_R_T_C_II_r1",NA,50624869,NA
"63","BSC_ACVRL1-CT-F-2135_F_T_O_I_r1",70807131,82603991,"R"
"64","BSC_ACVRL1-CT-F-2135_F_T_O_II_r1",NA,29638454,NA
"65","BSC_ACVRL1-CT-F-2135_R_B_C_I_r1",2666245,67629956,"R"
"66","BSC_ACVRL1-CT-F-2135_R_B_C_II_r1",NA,32772495,NA
"67","BSC_ACVRL1-CT-R-10391_F_T_O_I_r1",21635296,48797454,"R"
"68","BSC_ADAR-CA-F-34487_R_T_C_I_r1",81629380,62616877,"R"
"69","BSC_ADAR-CA-F-34487_R_T_C_II_r1",NA,13616543,NA
"70","BSC_ADAR-CA-F-4245_F_B_C_I_r1",78736411,79653835,"G"
"71","BSC_ADAR-CA-F-4245_F_B_C_II_r1",NA,62644308,NA
"72","BSC_ADAR-CA-F-9281_F_B_C_I_r1",15672103,13642222,"R"
"73","BSC_ADAR-CA-F-9281_F_B_C_II_r1",NA,54776456,NA
"74","BSC_ADAR-CA-F-9281_F_B_O_II_r1",NA,89665560,NA
"75","BSC_ADAR-CA-F-9281_R_T_C_II_r1",NA,10712865,NA
"76","BSC_ADAR-CA-R-21667_F_B_C_I_r1",33682181,43694253,"R"
"77","BSC_ADAR-CA-R-21667_F_B_C_II_r1",NA,79786185,NA
"78","BSC_ADAR-CA-R-21667_F_B_O_I_r1",61773850,29797296,"R"
"79","BSC_ADAR-CA-R-21667_F_B_O_II_r1",NA,92695936,NA
"80","BSC_ADAR-CA-R-21667_R_T_C_II_r1",NA,41684294,NA
"81","BSC_ADAR-CA-R-33208_F_B_C_I_r1",75657223,82780541,"G"
"82","BSC_ADAR-CA-R-33208_F_B_C_II_r1",NA,15657430,NA
"83","BSC_ADAR-CA-R-33208_R_T_C_I_r1",16614354,53786979,"R"
"84","BSC_ADAR-CA-R-33208_R_T_C_II_r1",NA,58740914,NA
"85","BSC_ADAR-CT-F-16602_R_B_C_I_r1",40741933,56805233,"R"
"86","BSC_ADAR-CT-F-16602_R_B_C_II_r1",NA,81653929,NA
"87","BSC_ALDOB-CA-F-6415_F_B_O_I_r1",52666967,61770562,"R"
"88","BSC_ALDOB-CA-F-6415_F_B_O_II_r1",NA,17719359,NA
"89","BSC_ALDOB-CA-F-6415_R_T_C_I_r1",95768892,28668111,"R"
"90","BSC_ALDOB-CA-F-6415_R_T_C_II_r1",NA,6675921,NA
"91","BSC_ARAF-CA-F-3931_F_B_C_I_r1",34745377,4604249,"G"
"92","BSC_ARAF-CA-F-3931_F_B_C_II_r1",NA,3772195,NA
"93","BSC_ARAF-CT-F-2116_F_T_O_II_r1",NA,57630467,NA
"94","BSC_ARAF-CT-F-2116_R_B_C_II_r1",NA,9790469,NA
"95","BSC_ARAF-CT-R-4967_R_T_C_I_r1",90774599,60780246,"R"
"96","BSC_ARAF-CT-R-4967_R_T_C_II_r1",NA,57743990,NA
"97","BSC_ARF1-CT-F-14820_F_B_O_I_r1",82794217,37657195,"R"
"98","BSC_ARF1-CT-F-14820_F_B_O_II_r1",NA,75654234,NA
"99","BSC_ARF1-CT-F-14820_R_T_C_II_r1",NA,90675351,NA
"100","BSC_ARF1-CT-R-5856_F_B_O_I_r1",84804229,14644850,"R"
"101","BSC_ARF1-CT-R-5856_F_B_O_II_r1",NA,94658491,NA
"102","BSC_ARF4-CA-F-11582_F_T_C_II_r1",NA,4786371,NA
"103","BSC_ARF4-CA-F-11582_R_B_C_I_r1",26758993,23704821,"R"
"104","BSC_ARF4-CA-F-11582_R_B_C_II_r1",NA,66609542,NA
